2010-02-23T15:34:04; Saiu; 1; Autenticação ok; 8
2010-02-23T15:34:04; Entrou; 1; Autenticando; 94
2010-02-23T15:34:04; Saiu; 3; Sessão; 8
2010-02-23T15:34:04; Entrou; 2; Requisição de sessão; 4
2010-02-23T15:34:04; Saiu; 6; Aguardando sessão; 8
2010-02-23T15:34:04; Entrou; 1000; Id da Sessão; 104
2010-02-23T15:34:04; Saiu; 4; Sessão autenticada; 8
2010-02-23T15:34:04; Saiu; 7; Versão do protocolo; 22
2010-02-23T15:34:31; Saiu; 300; Lista de ativos; 1020528
2010-02-23T15:34:33; Entrou; 300; Requisição de lista de ativos; 4
2010-02-23T15:47:25; Saiu; 1; Autenticação ok; 8
2010-02-23T15:47:25; Entrou; 1; Autenticando; 94
2010-02-23T15:47:25; Saiu; 3; Sessão; 8
2010-02-23T15:47:25; Entrou; 2; Requisição de sessão; 4
2010-02-23T15:47:25; Saiu; 6; Aguardando sessão; 8
2010-02-23T15:47:25; Entrou; 1000; Id da Sessão; 104
2010-02-23T16:00:16; Saiu; 1; Autenticação ok; 8
2010-02-23T16:00:16; Entrou; 1; Autenticando; 94
2010-02-23T16:00:16; Saiu; 3; Sessão; 8
2010-02-23T16:00:16; Entrou; 2; Requisição de sessão; 4
2010-02-23T16:00:16; Saiu; 6; Aguardando sessão; 8
2010-02-23T16:00:16; Entrou; 1000; Id da Sessão; 104
2010-02-23T16:00:16; Saiu; 4; Sessão autenticada; 8
2010-02-23T16:00:16; Saiu; 7; Versão do protocolo; 22
2010-02-23T16:00:16; Saiu; 302; Lista de ativos em dia; 8
2010-02-23T16:00:16; Entrou; 301; Atualização de lista de ativos; 8
2010-02-23T16:00:26; Saiu; 100; Ativo completo; 105067
2010-02-23T16:00:26; Entrou; 100; Requisição de ativo; 18
2010-02-23T16:09:10; Saiu; 1; Autenticação ok; 8
2010-02-23T16:09:10; Entrou; 1; Autenticando; 94
2010-02-23T16:09:10; Saiu; 3; Sessão; 8
2010-02-23T16:09:10; Entrou; 2; Requisição de sessão; 4
2010-02-23T16:09:11; Saiu; 6; Aguardando sessão; 8
2010-02-23T16:09:11; Entrou; 1000; Id da Sessão; 104
2010-02-23T16:09:11; Saiu; 4; Sessão autenticada; 8
2010-02-23T16:09:11; Saiu; 7; Versão do protocolo; 22
2010-02-23T16:09:11; Saiu; 302; Lista de ativos em dia; 8
2010-02-23T16:09:11; Entrou; 301; Atualização de lista de ativos; 8
2010-02-23T16:10:13; Saiu; 100; Ativo completo; 344843
2010-02-23T16:10:13; Entrou; 100; Requisição de ativo; 18
2010-02-23T16:54:50; Saiu; 1; Autenticação ok; 8
2010-02-23T16:54:50; Entrou; 1; Autenticando; 94
2010-02-23T16:54:50; Saiu; 3; Sessão; 8
2010-02-23T16:54:50; Entrou; 2; Requisição de sessão; 4
2010-02-23T16:54:51; Saiu; 6; Aguardando sessão; 8
2010-02-23T16:54:51; Entrou; 1000; Id da Sessão; 104
2010-02-23T16:54:51; Saiu; 4; Sessão autenticada; 8
2010-02-23T16:54:51; Saiu; 7; Versão do protocolo; 22
2010-02-23T16:55:15; Saiu; 300; Lista de ativos; 1020528
2010-02-23T16:55:17; Entrou; 300; Requisição de lista de ativos; 4
2010-02-23T16:58:05; Saiu; 100; Ativo completo; 512219
2010-02-23T16:58:05; Entrou; 100; Requisição de ativo; 18
2010-02-23T16:58:53; Saiu; 1; Autenticação ok; 8
2010-02-23T16:58:53; Entrou; 1; Autenticando; 94
2010-02-23T16:58:53; Saiu; 3; Sessão; 8
2010-02-23T16:58:53; Entrou; 2; Requisição de sessão; 4
2010-02-23T16:58:53; Saiu; 6; Aguardando sessão; 8
2010-02-23T16:58:53; Entrou; 1000; Id da Sessão; 104
2010-02-23T16:58:53; Saiu; 4; Sessão autenticada; 8
2010-02-23T16:58:53; Saiu; 7; Versão do protocolo; 22
2010-02-23T16:58:53; Saiu; 302; Lista de ativos em dia; 8
2010-02-23T16:58:53; Entrou; 301; Atualização de lista de ativos; 8
2010-02-23T16:59:05; Saiu; 108; ; 359
2010-02-23T16:59:05; Entrou; 100; Requisição de ativo; 18
2010-02-23T16:59:35; Saiu; 100; Ativo completo; 4665
2010-02-23T16:59:35; Entrou; 100; Requisição de ativo; 18
2010-02-23T17:00:45; Saiu; 100; Ativo completo; 344843
2010-02-23T17:00:45; Entrou; 100; Requisição de ativo; 18
2010-02-23T17:08:55; Saiu; 1; Autenticação ok; 8
2010-02-23T17:08:55; Entrou; 1; Autenticando; 94
2010-02-23T17:08:55; Saiu; 3; Sessão; 8
2010-02-23T17:08:55; Entrou; 2; Requisição de sessão; 4
2010-02-23T17:08:55; Saiu; 6; Aguardando sessão; 8
2010-02-23T17:08:55; Entrou; 1000; Id da Sessão; 104
2010-02-23T17:08:55; Saiu; 4; Sessão autenticada; 8
2010-02-23T17:08:55; Saiu; 7; Versão do protocolo; 22
